Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,% of GDP in 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2021 Nominal GDP "
Bolivia,8,9,9,10,10,9,13,12,15,32,37,36,38,46,51,67,73,79,106,103,102,117,147,172,180,210,222,233,252,275,216,294,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,"40,703"
Bosnia and Herzegovina,,,,,,,,,,,,11,14,20,62,40,55,65,55,55,46,52,47,48,47,56,61,64,84,84,97,106,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,"23,365"
Botswana,118,118,139,131,145,199,86,119,118,122,134,129,130,186,99,107,97,99,58,60,100,122,124,97,105,95,80,81,63,99,164,237,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,"17,614"
Brazil,11,21,34,198,250,336,396,360,362,307,338,345,329,296,339,374,529,563,813,731,"1,024","1,124","1,064","1,150","1,539","1,339","1,385","2,238","2,253","2,232","1,608","1,755",0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,"1,608,080"
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,89,97,354,376,405,430,420,445,0,0,0,0,0,0,0,0,0,0,10,10,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,"14,006"
Bulgaria,0,0,0,0,0,0,34,16,3,4,26,27,14,13,29,35,50,103,162,101,90,105,107,162,169,115,127,163,195,205,189,157,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,"80,327"
Burkina Faso,,,,,,,,,,,,,,,,84,86,93,100,100,112,42,71,149,161,181,188,199,209,197,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,"19,095"
Burundi,5,4,7,6,4,4,5,2,2,2,,,,,,,,,,,,6,5,7,15,21,19,16,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,"3,351"
Cabo Verde,2,3,5,4,3,5,3,5,,,0,0,2,7,12,5,6,6,10,12,8,9,10,10,11,14,36,44,40,37,37,38,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,"2,112"
Cambodia,0,0,14,15,38,52,77,39,42,54,60,52,70,56,56,128,120,118,171,159,163,192,265,297,360,314,357,324,310,279,226,266,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,"26,313"
Cameroon,111,95,135,107,62,22,37,36,34,28,30,42,56,57,42,56,92,90,57,130,54,81,73,65,82,76,81,84,89,86,102,40,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,"45,391"
Canada,"1,314","1,313","1,225","1,137","1,181","1,306","1,451","1,547","1,495","1,614","1,697","1,775","1,971","2,242","2,611","3,262","3,287","4,567","4,859","4,662","5,290","5,558","5,629","5,702","5,948","5,114","5,256","6,483","7,578","8,763","6,785","7,214",0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,"1,988,336"
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,371,395,449,501,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0
Central African Republic,36,35,35,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,"2,584"
Chad,39,39,47,41,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,"11,796"
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0
Chile,7,0,0,0,0,0,14,21,16,14,16,16,16,4,4,3,3,3,3,104,149,177,238,310,304,386,346,492,624,723,774,762,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,"316,770"
China,5,18,15,15,19,0,0,198,272,593,754,936,"1,173","1,597","1,998","1,817","2,330","2,493","2,736","2,052","1,455","1,618","1,788","1,714","4,155","5,718","6,211","16,253","16,548","15,135","18,296","22,903",0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,"17,744,640"
Colombia,44,,,,146,150,140,112,151,247,219,204,158,65,51,56,66,95,88,124,151,223,246,278,399,334,259,292,313,348,254,386,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,"314,409"
Comoros,4,6,11,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,2,5,5,1,3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,"1,284"
"Congo, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26,37,31,57,813,670,920,451,851,450,532,914,"1,004",746,731,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,"56,553"
"Congo, Rep.",55,52,53,45,23,27,38,35,35,46,37,32,35,39,49,66,81,58,54,64,70,54,51,57,67,68,402,0,0,48,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,"12,641"
Costa Rica,0,0,0,0,7,36,46,67,93,122,142,140,148,192,192,209,246,271,269,239,259,291,346,403,419,408,416,469,507,530,496,549,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,"64,417"
Cote d'Ivoire,,,,,,,,,,,,,,,,597,661,699,759,746,726,729,694,736,747,650,716,847,919,908,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,"70,080"
Croatia,,,,0,0,0,15,37,35,43,92,100,128,158,165,197,262,345,393,350,333,363,247,390,443,414,425,467,532,533,570,632,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,"67,707"
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0
Curacao,,,,,,,,,,,,,,,,,,,,,,133,135,117,121,130,127,142,141,132,122,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0
Cyprus,12,18,24,25,34,48,54,51,52,52,48,79,107,184,213,241,240,305,814,695,952,895,760,742,790,635,690,777,870,841,864,960,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,"27,738"
Czech Republic,0,0,0,6,55,100,302,340,739,634,603,711,893,"1,100",800,"1,341","1,678","2,296","2,586","2,045","1,497","1,522","1,335","1,079","1,523","1,376","1,659","2,056","2,786","3,447","3,252","4,069",1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,"281,778"
Denmark,0,0,160,160,200,209,0,370,346,694,662,745,860,"1,029","1,226","1,512","1,775","3,054","4,025","3,391","2,833","3,148","2,979","3,059","3,172","2,781","2,914","3,141","3,393","3,363","3,387","3,647",0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,"398,303"
Djibouti,0,0,0,0,0,0,0,0,1,1,2,2,2,5,5,5,5,5,5,6,12,13,12,0,0,0,0,0,0,0,2,1,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,"3,372"
Dominica,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,25,25,21,20,14,26,22,24,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.40,537
Dominican Republic,0,0,0,10,7,7,9,8,19,18,19,22,23,23,24,25,27,28,35,27,534,566,565,531,575,585,617,651,623,741,837,872,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,"94,714"
Ecuador,2,3,3,3,5,4,9,4,5,5,6,7,7,7,7,54,62,83,66,95,136,148,154,167,196,292,302,371,467,655,518,604,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,"106,166"
"Egypt, Arab Rep.",27,33,233,140,255,223,142,344,108,39,32,35,14,79,13,57,135,180,241,255,305,293,293,355,351,623,352,271,515,472,445,442,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,"423,145"
El Salvador,,,,,,,,,,7,19,26,22,24,32,24,28,28,19,20,22,27,27,28,51,74,165,187,190,233,187,262,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,"28,737"
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,"12,269"
Eritrea,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,"2,201"
Estonia,0,0,0,0,1,3,2,5,3,3,3,2,5,16,25,49,74,91,128,92,123,114,113,100,114,94,122,151,234,249,220,258,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,"37,216"
Eswatini,4,5,8,7,6,3,4,2,2,7,21,26,21,39,4,8,17,8,6,11,12,28,50,27,18,19,19,19,24,27,24,41,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,"4,744"
Ethiopia,0,0,1,0,0,0,1,5,4,3,13,14,17,17,9,16,14,15,21,27,47,22,20,23,14,14,30,12,9,19,17,14,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,"99,269"
Faeroe Islands,0,0,0,0,0,0,0,0,7,6,6,13,10,5,5,18,23,33,41,31,31,34,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0
Fiji,,,,,,,,,,,2,4,4,4,16,8,10,9,13,7,10,11,8,8,11,10,13,15,16,11,7,12,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,"4,296"
Finland,16,59,34,35,42,54,55,89,104,111,100,97,114,149,225,266,437,553,685,687,721,445,774,"1,085","1,015",928,882,998,"1,011",958,977,"1,013",0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,"297,575"
France,"6,773","6,891","7,978","7,285","4,148","4,795","4,319","3,991","4,237","4,816","5,121","5,385","6,134","7,722","9,095","9,470","10,285","11,945","13,269","11,767","12,026","12,858","12,561","13,425","13,730","12,792","13,284","13,799","15,023","15,041","14,778","16,115",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,"2,957,425"
